"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Lorenzo Colombo,Lecce,2002,14,21,0.3,0.12,0.42,0.37,0.09
Andrea Colpani,Monza,1999,31,51,0.38,0.09,0.47,0.2,0.18
Kingsley Coman,Bayern Munich,1996,98,70,0.51,0.32,0.83,0.29,0.35
Santi Comesa�a,Rayo Vallecano,1996,40,150,0.11,0.07,0.18,0.09,0.08
Abdu Cont�,Troyes,1998,32,56,0.07,0.14,0.21,0.04,0.14
�ngel Correa,Atletico Madrid,1995,44,58,0.56,0.06,0.62,0.44,0.22
Joaqu�n Correa,Inter,1994,19,29,0.28,0.09,0.38,0.33,0.12
David Pereira da Costa,Lens,2001,61,117,0.06,0.19,0.26,0.18,0.26
Nuno da Costa,Auxerre,1991,30,32,0.22,0.18,0.4,0.2,0.16
Samu Costa,Almer�a,2000,9,91,0.05,0.09,0.14,0.08,0.04
Lassana Coulibaly,Salernitana,1996,52,120,0.09,0.09,0.19,0.03,0.06
Yan Couto,Girona,2002,56,55,0.08,0.16,0.23,0.04,0.19
Nicolas Cozza,Montpellier,1999,20,48,0.14,0.07,0.21,0.1,0.05
Bryan Cristante,Roma,1995,16,142,0.03,0.03,0.06,0.08,0.04
Juan Cuadrado,Juventus,1988,48,92,0.04,0.13,0.17,0.06,0.12
Moanes Dabbur,Hoffenheim,1992,10,33,0.58,0.19,0.77,0.34,0.21
Patson Daka,Leicester City,1998,18,17,0.3,0.3,0.61,0.27,0.21
Thijs Dallinga,Toulouse,2000,23,30,0.46,0.04,0.5,0.38,0.08
Diogo Dalot,Manchester United,1999,46,92,0.04,0.08,0.13,0.1,0.08
Danilo,Nott'ham Forest,2001,13,34,0.28,0.18,0.46,0.14,0.07
Danilo,Juventus,1991,39,176,0.08,0.08,0.17,0.08,0.07
Kevin Danso,Lens,1998,34,163,0.03,0.06,0.08,0.07,0.03
Dante,Nice,1983,12,160,0.03,0.05,0.08,0.04,0.05
Sergi Darder,Espanyol,1993,111,233,0.16,0.08,0.24,0.09,0.2
Matteo Darmian,Inter,1989,22,88,0.04,0.09,0.13,0.04,0.09
Josh Dasilva,Brentford,1998,60,62,0.26,0.13,0.39,0.1,0.09
Jonathan David,Lille,2000,67,95,0.68,0.11,0.8,0.67,0.17
Alphonso Davies,Bayern Munich,2000,117,133,0.04,0.18,0.22,0.07,0.16
Ben Davies,Tottenham,1993,39,107,0.08,0.08,0.16,0.04,0.1
Pawe? Dawidowicz,Hellas Verona,1995,20,60,0.06,0.06,0.11,0.06,0.04
Kevin De Bruyne,Manchester City,1991,100,246,0.26,0.6,0.86,0.21,0.51
Rodrigo De Paul,Atletico Madrid,1994,55,182,0.09,0.33,0.42,0.07,0.26
Gr�goire Defrel,Sassuolo,1991,11,10,0.15,0.08,0.23,0.27,0.04
Brecht Dejaegere,Toulouse,1991,36,96,0.2,0.05,0.25,0.13,0.08
Romain Del Castillo,Brest,1996,47,75,0.38,0.38,0.76,0.39,0.27
Andy Delort,Nice,1991,7,19,0.69,0.12,0.81,0.62,0.16
Ousmane Demb�l�,Barcelona,1997,124,74,0.32,0.45,0.77,0.25,0.31
Kerem Demirbay,Leverkusen,1993,22,86,0.23,0.17,0.41,0.13,0.17
